Analyzing miko...

  error - lib/llm/llm_dart.dart:87:36 - The argument type 'String' can't be assigned to the parameter type 'int'.  - argument_type_not_assignable
warning - lib/models/tmdb/tmdb_m.dart:626:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:627:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:629:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:630:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:633:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:634:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:637:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:638:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:639:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:650:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:651:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:656:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:657:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:658:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:661:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:662:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:663:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:664:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:667:19 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:672:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/tmdb_m.dart:673:6 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
